title,company_name,skills,location_city,skills_cleaned,skills_count,role
.NET Developer,Global Company,C#; ASP.NET Core; Microservices; Kubernetes; Entity Framework; Azure; SOLID Principles,Remote/International,"c#, asp.net core, microservices, kubernetes, entity framework, azure, solid principles",7,Other Tech
.NET Developer,Global Company,C#; .NET Core; ASP.NET MVC; Testing with xUnit; Moq; Azure,Remote/International,"c#, .net core, asp.net mvc, testing with xunit, moq, azure",6,Other Tech
.NET Developer,Global Company,C#; .NET Core; ASP.NET MVC; CI/CD; Azure DevOps; Docker; Kubernetes; REST APIs,Remote/International,"c#, .net core, asp.net mvc, ci/cd, azure devops, docker, kubernetes, rest apis",8,Other Tech
AI Engineer - Fresher,Global Company,Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB; NoSQL,Remote/International,"python, java, c++, r, supervised/unsupervised learning, regression, classification, clustering, tensorflow, pytorch, keras, scikit-learn, neural networks, opencv, nltk, pandas, numpy, sql, mongodb, nosql",20,AI/ML
AI Engineer - Fresher,Global Company,Python; Java; C++; R; Classification; Regression; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,Remote/International,"python, java, c++, r, classification, regression, clustering, tensorflow, pytorch, keras, scikit-learn, neural networks, opencv, nltk, pandas, numpy, sql, mongodb",18,AI/ML
AI Engineer - Fresher,Global Company,Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,Remote/International,"python, java, c++, r, supervised/unsupervised learning, regression, classification, clustering, tensorflow, pytorch, keras, scikit-learn, neural networks, opencv, nltk, pandas, numpy, sql, mongodb",19,AI/ML
AI Engineer - Fresher,Global Company,Python; Java; C++; R; Classification; Regression; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,Remote/International,"python, java, c++, r, classification, regression, clustering, tensorflow, pytorch, keras, scikit-learn, neural networks, opencv, nltk, pandas, numpy, sql, mongodb",18,AI/ML
AI Engineer - Fresher,Global Company,Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,Remote/International,"python, java, c++, r, supervised/unsupervised learning, regression, classification, clustering, tensorflow, pytorch, keras, scikit-learn, neural networks, opencv, nltk, pandas, numpy, sql, mongodb",19,AI/ML
AI Engineer - Fresher,Global Company,Python; Java; C++; R; Classification; Regression; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,Remote/International,"python, java, c++, r, classification, regression, clustering, tensorflow, pytorch, keras, scikit-learn, neural networks, opencv, nltk, pandas, numpy, sql, mongodb",18,AI/ML
AI Engineer - Fresher,Global Company,Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,Remote/International,"python, java, c++, r, supervised/unsupervised learning, regression, classification, clustering, tensorflow, pytorch, keras, scikit-learn, neural networks, opencv, nltk, pandas, numpy, sql, mongodb",19,AI/ML
AI Engineer - Fresher,Global Company,Python; Java; C++; R; Classification; Regression; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,Remote/International,"python, java, c++, r, classification, regression, clustering, tensorflow, pytorch, keras, scikit-learn, neural networks, opencv, nltk, pandas, numpy, sql, mongodb",18,AI/ML
AI Engineer - Fresher,Global Company,Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,Remote/International,"python, java, c++, r, supervised/unsupervised learning, regression, classification, clustering, tensorflow, pytorch, keras, scikit-learn, neural networks, opencv, nltk, pandas, numpy, sql, mongodb",19,AI/ML
AI Engineer - Experienced,Global Company,Python; Java; C++; R; Deep Learning; Reinforcement Learning; NLP; Computer Vision; Generative AI; LLMs; TensorFlow; PyTorch; Scikit-learn; Hugging Face Transformers; ONNX; AWS; GCP; Azure; CI/CD; MLOps; Apache Spark; Hadoop; Docker; Kubernetes; Model Monitoring; SHAP; LIME,Remote/International,"python, java, c++, r, deep learning, reinforcement learning, nlp, computer vision, generative ai, llms, tensorflow, pytorch, scikit-learn, hugging face transformers, onnx, aws, gcp, azure, ci/cd, mlops, apache spark, hadoop, docker, kubernetes, model monitoring, shap, lime",27,AI/ML
AI Engineer - Experienced,Global Company,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Generative AI; LLMs; TensorFlow; PyTorch; Scikit-learn; Hugging Face Transformers; ONNX; AWS; GCP; Azure; CI/CD; MLOps; Spark; Hadoop; Docker; Kubernetes; Model Monitoring; SHAP; LIME,Remote/International,"python, java, c++, r, deep learning, nlp, computer vision, generative ai, llms, tensorflow, pytorch, scikit-learn, hugging face transformers, onnx, aws, gcp, azure, ci/cd, mlops, spark, hadoop, docker, kubernetes, model monitoring, shap, lime",26,AI/ML
AI Engineer - Experienced,Global Company,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Reinforcement Learning; LLMs; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face Transformers; AWS; GCP; Azure; CI/CD; Docker; Kubernetes; Spark; Hadoop; SHAP; LIME,Remote/International,"python, java, c++, r, deep learning, nlp, computer vision, reinforcement learning, llms, tensorflow, pytorch, keras, scikit-learn, hugging face transformers, aws, gcp, azure, ci/cd, docker, kubernetes, spark, hadoop, shap, lime",24,AI/ML
AI Engineer - Experienced,Global Company,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; LLMs; Reinforcement Learning; TensorFlow; PyTorch; Scikit-learn; Hugging Face; ONNX; AWS; GCP; Azure; CI/CD; Docker; Kubernetes; Spark; Hadoop; SHAP; LIME,Remote/International,"python, java, c++, r, deep learning, nlp, computer vision, llms, reinforcement learning, tensorflow, pytorch, scikit-learn, hugging face, onnx, aws, gcp, azure, ci/cd, docker, kubernetes, spark, hadoop, shap, lime",24,AI/ML
AI Engineer - Experienced,Global Company,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Generative AI; LLMs; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face; ONNX; AWS; GCP; Azure; Docker; Kubernetes; CI/CD; Hadoop; Spark; SHAP; LIME,Remote/International,"python, java, c++, r, deep learning, nlp, computer vision, generative ai, llms, tensorflow, pytorch, keras, scikit-learn, hugging face, onnx, aws, gcp, azure, docker, kubernetes, ci/cd, hadoop, spark, shap, lime",25,AI/ML
AI Engineer - Experienced,Global Company,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Reinforcement Learning; LLMs; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face; AWS; GCP; Azure; Docker; Kubernetes; CI/CD; Spark; Hadoop; SHAP; LIME,Remote/International,"python, java, c++, r, deep learning, nlp, computer vision, reinforcement learning, llms, tensorflow, pytorch, keras, scikit-learn, hugging face, aws, gcp, azure, docker, kubernetes, ci/cd, spark, hadoop, shap, lime",24,AI/ML
AI Engineer - Experienced,Global Company,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Generative AI; LLMs; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face; ONNX; AWS; GCP; Azure; Docker; Kubernetes; CI/CD; Hadoop; Spark; SHAP; LIME,Remote/International,"python, java, c++, r, deep learning, nlp, computer vision, generative ai, llms, tensorflow, pytorch, keras, scikit-learn, hugging face, onnx, aws, gcp, azure, docker, kubernetes, ci/cd, hadoop, spark, shap, lime",25,AI/ML
AI Engineer - Experienced,Global Company,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; LLMs; Reinforcement Learning; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face; AWS; GCP; Azure; Docker; Kubernetes; CI/CD; Spark; Hadoop; SHAP; LIME,Remote/International,"python, java, c++, r, deep learning, nlp, computer vision, llms, reinforcement learning, tensorflow, pytorch, keras, scikit-learn, hugging face, aws, gcp, azure, docker, kubernetes, ci/cd, spark, hadoop, shap, lime",24,AI/ML
AI Engineer - Experienced,Global Company,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Generative AI; LLMs; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face; ONNX; AWS; GCP; Azure; Docker; Kubernetes; CI/CD; Spark; Hadoop; SHAP; LIME,Remote/International,"python, java, c++, r, deep learning, nlp, computer vision, generative ai, llms, tensorflow, pytorch, keras, scikit-learn, hugging face, onnx, aws, gcp, azure, docker, kubernetes, ci/cd, spark, hadoop, shap, lime",25,AI/ML
AI Engineer - Experienced,Global Company,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Reinforcement Learning; LLMs; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face; ONNX; AWS; GCP; Azure; Docker; Kubernetes; CI/CD; Spark; Hadoop; SHAP; LIME,Remote/International,"python, java, c++, r, deep learning, nlp, computer vision, reinforcement learning, llms, tensorflow, pytorch, keras, scikit-learn, hugging face, onnx, aws, gcp, azure, docker, kubernetes, ci/cd, spark, hadoop, shap, lime",25,AI/ML
AI Prompt Engineer,Global Company,Python basics; JavaScript basics; Intro to NLP; Hugging Face Transformers basics; SpaCy basics; NLTK basics; Prompt writing fundamentals; OpenAI GPT models intro; TensorFlow basics; PyTorch basics; Critical thinking; Communication; Collaboration; Creativity,Remote/International,"python basics, javascript basics, intro to nlp, hugging face transformers basics, spacy basics, nltk basics, prompt writing fundamentals, openai gpt models intro, tensorflow basics, pytorch basics, critical thinking, communication, collaboration, creativity",14,AI/ML
AI Prompt Engineer,Global Company,Python basics; JavaScript basics; Intro to NLP; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing; GPT model exposure; TensorFlow basics; PyTorch basics; Problem-solving; Communication; Teamwork; Creativity,Remote/International,"python basics, javascript basics, intro to nlp, hugging face basics, spacy basics, nltk basics, prompt writing, gpt model exposure, tensorflow basics, pytorch basics, problem-solving, communication, teamwork, creativity",14,AI/ML
AI Prompt Engineer,Global Company,Python basics; JavaScript basics; Intro to NLP; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing fundamentals; OpenAI GPT models exposure; TensorFlow basics; PyTorch basics; Critical thinking; Communication; Collaboration; Creativity,Remote/International,"python basics, javascript basics, intro to nlp, hugging face basics, spacy basics, nltk basics, prompt writing fundamentals, openai gpt models exposure, tensorflow basics, pytorch basics, critical thinking, communication, collaboration, creativity",14,AI/ML
AI Prompt Engineer,Global Company,Python basics; JavaScript basics; NLP introduction; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing fundamentals; GPT models intro; TensorFlow basics; PyTorch basics; Collaboration; Creativity; Problem-solving; Communication,Remote/International,"python basics, javascript basics, nlp introduction, hugging face basics, spacy basics, nltk basics, prompt writing fundamentals, gpt models intro, tensorflow basics, pytorch basics, collaboration, creativity, problem-solving, communication",14,AI/ML
AI Prompt Engineer,Global Company,Python basics; JavaScript basics; Intro to NLP; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing; OpenAI GPT model basics; TensorFlow basics; PyTorch basics; Critical thinking; Communication; Teamwork; Creativity,Remote/International,"python basics, javascript basics, intro to nlp, hugging face basics, spacy basics, nltk basics, prompt writing, openai gpt model basics, tensorflow basics, pytorch basics, critical thinking, communication, teamwork, creativity",14,AI/ML
AI Prompt Engineer,Global Company,Python basics; JavaScript basics; Introductory NLP; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing fundamentals; GPT model exposure; TensorFlow basics; PyTorch basics; Problem-solving; Communication; Teamwork; Creativity,Remote/International,"python basics, javascript basics, introductory nlp, hugging face basics, spacy basics, nltk basics, prompt writing fundamentals, gpt model exposure, tensorflow basics, pytorch basics, problem-solving, communication, teamwork, creativity",14,AI/ML
AI Prompt Engineer,Global Company,Python basics; JavaScript basics; Intro NLP; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing; OpenAI GPT intro; TensorFlow basics; PyTorch basics; Communication; Teamwork; Problem-solving; Creativity,Remote/International,"python basics, javascript basics, intro nlp, hugging face basics, spacy basics, nltk basics, prompt writing, openai gpt intro, tensorflow basics, pytorch basics, communication, teamwork, problem-solving, creativity",14,AI/ML
AI Prompt Engineer,Global Company,Python basics; JavaScript basics; NLP basics; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing fundamentals; GPT models intro; TensorFlow basics; PyTorch basics; Critical thinking; Collaboration; Communication; Creativity,Remote/International,"python basics, javascript basics, nlp basics, hugging face basics, spacy basics, nltk basics, prompt writing fundamentals, gpt models intro, tensorflow basics, pytorch basics, critical thinking, collaboration, communication, creativity",14,AI/ML
AI Prompt Engineer,Global Company,Python basics; JavaScript basics; Intro to NLP; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing; OpenAI GPT basics; TensorFlow basics; PyTorch basics; Problem-solving; Communication; Teamwork; Creativity,Remote/International,"python basics, javascript basics, intro to nlp, hugging face basics, spacy basics, nltk basics, prompt writing, openai gpt basics, tensorflow basics, pytorch basics, problem-solving, communication, teamwork, creativity",14,AI/ML
AI Prompt Engineer,Global Company,Python basics; JavaScript basics; NLP basics; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing fundamentals; GPT models intro; TensorFlow basics; PyTorch basics; Critical thinking; Collaboration; Creativity; Communication,Remote/International,"python basics, javascript basics, nlp basics, hugging face basics, spacy basics, nltk basics, prompt writing fundamentals, gpt models intro, tensorflow basics, pytorch basics, critical thinking, collaboration, creativity, communication",14,AI/ML
AI Prompt Engineer,Global Company,"Advanced Python; JavaScript advanced; Deep NLP expertise; Hugging Face Transformers; TensorFlow; PyTorch; Advanced prompt design (chain-of-thought, iterative optimization); OpenAI API; Azure Cognitive Services; Machine learning for prompt tuning; Data analysis; Collaboration; Problem-solving; Leadership; Creativity",Remote/International,"advanced python, javascript advanced, deep nlp expertise, hugging face transformers, tensorflow, pytorch, advanced prompt design (chain-of-thought, iterative optimization), openai api, azure cognitive services, machine learning for prompt tuning, data analysis, collaboration, problem-solving, leadership, creativity",16,AI/ML
AI Prompt Engineer,Global Company,Python advanced; JavaScript; NLP frameworks; Hugging Face Transformers; PyTorch; TensorFlow; Chain-of-thought prompting; Iterative prompt optimization; OpenAI API; Azure Cognitive Services; Machine learning analysis; Data visualization; Leadership; Problem-solving; Collaboration,Remote/International,"python advanced, javascript, nlp frameworks, hugging face transformers, pytorch, tensorflow, chain-of-thought prompting, iterative prompt optimization, openai api, azure cognitive services, machine learning analysis, data visualization, leadership, problem-solving, collaboration",15,AI/ML
AI Prompt Engineer,Global Company,Python; Advanced NLP; Hugging Face Transformers; PyTorch; TensorFlow; Prompt chain-of-thought; Iterative prompt design; OpenAI API; Azure Cognitive Services; Data analytics; Collaboration; Leadership; Critical thinking; Communication; Creativity,Remote/International,"python, advanced nlp, hugging face transformers, pytorch, tensorflow, prompt chain-of-thought, iterative prompt design, openai api, azure cognitive services, data analytics, collaboration, leadership, critical thinking, communication, creativity",15,AI/ML
AI Prompt Engineer,Global Company,Advanced Python; JavaScript; NLP techniques; TensorFlow; PyTorch; Hugging Face; Prompt iterative optimization; Chain-of-thought prompting; API integration (OpenAI/Azure); Data analysis; Leadership; Collaboration; Problem-solving; Creativity; Critical thinking,Remote/International,"advanced python, javascript, nlp techniques, tensorflow, pytorch, hugging face, prompt iterative optimization, chain-of-thought prompting, api integration (openai/azure), data analysis, leadership, collaboration, problem-solving, creativity, critical thinking",15,AI/ML
AI Prompt Engineer,Global Company,Python; Advanced NLP; Hugging Face Transformers; PyTorch; TensorFlow; Prompt optimization techniques; Chain-of-thought prompts; LLM tuning; OpenAI API; Azure Cognitive Services; Data analytics; Leadership; Problem-solving; Collaboration; Creativity,Remote/International,"python, advanced nlp, hugging face transformers, pytorch, tensorflow, prompt optimization techniques, chain-of-thought prompts, llm tuning, openai api, azure cognitive services, data analytics, leadership, problem-solving, collaboration, creativity",15,AI/ML
AI Prompt Engineer,Global Company,Python; JavaScript; Advanced NLP; TensorFlow; PyTorch; Hugging Face; Prompt chain-of-thought; Iterative prompt optimization; OpenAI API; Azure Cognitive Services; Data analysis; Leadership; Collaboration; Problem-solving; Creativity,Remote/International,"python, javascript, advanced nlp, tensorflow, pytorch, hugging face, prompt chain-of-thought, iterative prompt optimization, openai api, azure cognitive services, data analysis, leadership, collaboration, problem-solving, creativity",15,AI/ML
AI Prompt Engineer,Global Company,Advanced Python; NLP frameworks; Hugging Face Transformers; TensorFlow; PyTorch; Chain-of-thought prompting; Iterative prompt optimization; OpenAI API; Azure Cognitive Services; Data analytics; Collaboration; Leadership; Problem-solving; Creativity; Critical thinking,Remote/International,"advanced python, nlp frameworks, hugging face transformers, tensorflow, pytorch, chain-of-thought prompting, iterative prompt optimization, openai api, azure cognitive services, data analytics, collaboration, leadership, problem-solving, creativity, critical thinking",15,AI/ML
AI Prompt Engineer,Global Company,Python; Advanced NLP; Hugging Face; PyTorch; TensorFlow; Prompt design optimization; Chain-of-thought prompting; OpenAI API; Azure Cognitive Services; Data analysis; Leadership; Collaboration; Problem-solving; Creativity; Critical thinking,Remote/International,"python, advanced nlp, hugging face, pytorch, tensorflow, prompt design optimization, chain-of-thought prompting, openai api, azure cognitive services, data analysis, leadership, collaboration, problem-solving, creativity, critical thinking",15,AI/ML
AI Prompt Engineer,Global Company,Python; Advanced NLP; Hugging Face Transformers; TensorFlow; PyTorch; Prompt optimization techniques; Chain-of-thought prompts; OpenAI API; Azure Cognitive Services; Data analytics; Leadership; Collaboration; Problem-solving; Creativity; Critical thinking,Remote/International,"python, advanced nlp, hugging face transformers, tensorflow, pytorch, prompt optimization techniques, chain-of-thought prompts, openai api, azure cognitive services, data analytics, leadership, collaboration, problem-solving, creativity, critical thinking",15,AI/ML
AI Prompt Engineer,Global Company,Advanced Python; NLP frameworks; Hugging Face; PyTorch; TensorFlow; Prompt chain-of-thought; Iterative prompt optimization; OpenAI API; Azure Cognitive Services; Data analysis; Leadership; Collaboration; Problem-solving; Creativity; Critical thinking,Remote/International,"advanced python, nlp frameworks, hugging face, pytorch, tensorflow, prompt chain-of-thought, iterative prompt optimization, openai api, azure cognitive services, data analysis, leadership, collaboration, problem-solving, creativity, critical thinking",15,AI/ML
Android Developer Intern,Global Company,Java; Kotlin; Android Studio; XML; REST APIs; SQLite; UI/UX Basics; Git; MVC,Remote/International,"java, kotlin, android studio, xml, rest apis, sqlite, ui/ux basics, git, mvc",9,Other Tech
Junior Android Developer,Global Company,Java; Kotlin; Android Studio; XML; Git; REST API; SQLite; UI/UX Design,Remote/International,"java, kotlin, android studio, xml, git, rest api, sqlite, ui/ux design",8,Other Tech
Android App Developer Trainee,Global Company,Kotlin; Java; Android Studio; UI/UX Basics; SQLite; MVC; REST APIs; Git,Remote/International,"kotlin, java, android studio, ui/ux basics, sqlite, mvc, rest apis, git",8,AI/ML
Entry-level Android Developer,Global Company,Java; Kotlin; Android Studio; XML; Material Design; SQLite; REST API; Git,Remote/International,"java, kotlin, android studio, xml, material design, sqlite, rest api, git",8,Other Tech
Android Developer Intern,Global Company,Kotlin; Java; Android Studio; XML; UI/UX Basics; Git; SQLite; REST API,Remote/International,"kotlin, java, android studio, xml, ui/ux basics, git, sqlite, rest api",8,Other Tech
Associate Android Developer,Global Company,Java; Kotlin; Android Studio; XML; UI/UX Design; SQLite; REST API; Git,Remote/International,"java, kotlin, android studio, xml, ui/ux design, sqlite, rest api, git",8,Other Tech
Trainee Android App Developer,Global Company,Kotlin; Java; Android Studio; XML; UI/UX Basics; SQLite; REST API; Git,Remote/International,"kotlin, java, android studio, xml, ui/ux basics, sqlite, rest api, git",8,AI/ML
Junior Android Engineer,Global Company,Java; Kotlin; Android Studio; XML; SQLite; UI/UX Basics; Git; REST APIs,Remote/International,"java, kotlin, android studio, xml, sqlite, ui/ux basics, git, rest apis",8,Other Tech
Android Developer Trainee,Global Company,Java; Kotlin; Android Studio; XML; UI/UX Basics; SQLite; REST API; Git,Remote/International,"java, kotlin, android studio, xml, ui/ux basics, sqlite, rest api, git",8,AI/ML
Android Developer,Global Company,Java; Kotlin; Android Studio; Jetpack; MVVM; Room; REST APIs; Git; Firebase; Unit Testing,Remote/International,"java, kotlin, android studio, jetpack, mvvm, room, rest apis, git, firebase, unit testing",10,Other Tech
Senior Android Developer,Global Company,Java; Kotlin; Android Studio; MVVM; Clean Architecture; Dagger; Room; REST APIs; Firebase; Unit Testing; CI/CD,Remote/International,"java, kotlin, android studio, mvvm, clean architecture, dagger, room, rest apis, firebase, unit testing, ci/cd",11,Other Tech
Lead Android Engineer,Global Company,Kotlin; Java; Android Studio; MVVM; Clean Architecture; Jetpack; Room; Firebase; Dagger; Performance Optimization; CI/CD,Remote/International,"kotlin, java, android studio, mvvm, clean architecture, jetpack, room, firebase, dagger, performance optimization, ci/cd",11,Other Tech
Android Solutions Engineer,Global Company,Java; Kotlin; Android Studio; MVVM; Clean Architecture; Jetpack; Room; REST APIs; Firebase; CI/CD; Unit Testing,Remote/International,"java, kotlin, android studio, mvvm, clean architecture, jetpack, room, rest apis, firebase, ci/cd, unit testing",11,Other Tech
Principal Android Developer,Global Company,Kotlin; Java; Android Studio; MVVM; Clean Architecture; Jetpack; Dagger; Firebase; Room; CI/CD; Unit Testing,Remote/International,"kotlin, java, android studio, mvvm, clean architecture, jetpack, dagger, firebase, room, ci/cd, unit testing",11,Other Tech
Senior Android Engineer,Global Company,Java; Kotlin; Android Studio; MVVM; Jetpack; Clean Architecture; Firebase; Dagger; Room; CI/CD; Unit Testing,Remote/International,"java, kotlin, android studio, mvvm, jetpack, clean architecture, firebase, dagger, room, ci/cd, unit testing",11,Other Tech
Principal Android Engineer,Global Company,Kotlin; Java; Android Studio; MVVM; Clean Architecture; Jetpack; Dagger; Firebase; Room; CI/CD; Unit Testing; Performance Optimization,Remote/International,"kotlin, java, android studio, mvvm, clean architecture, jetpack, dagger, firebase, room, ci/cd, unit testing, performance optimization",12,Other Tech
AR/VR Developer,Global Company,C++ basics; C# basics; JavaScript basics; Unity basics; Unreal Engine basics; ARKit basics; ARCore basics; Blender basics; Maya basics; 3D modeling basics; UI/UX fundamentals; Spatial computing basics; Communication; Teamwork; Problem-solving,Remote/International,"c++ basics, c# basics, javascript basics, unity basics, unreal engine basics, arkit basics, arcore basics, blender basics, maya basics, 3d modeling basics, ui/ux fundamentals, spatial computing basics, communication, teamwork, problem-solving",15,Other Tech
AR/VR Developer,Global Company,C++ basics; C# basics; JavaScript basics; Unity basics; Unreal Engine basics; ARKit basics; ARCore basics; 3D modeling fundamentals; Blender basics; UI/UX fundamentals; Spatial computing basics; Motion tracking basics; Teamwork; Problem-solving; Communication,Remote/International,"c++ basics, c# basics, javascript basics, unity basics, unreal engine basics, arkit basics, arcore basics, 3d modeling fundamentals, blender basics, ui/ux fundamentals, spatial computing basics, motion tracking basics, teamwork, problem-solving, communication",15,Other Tech
AR/VR Developer,Global Company,C++ basics; C# basics; JavaScript basics; Unity basics; Unreal Engine basics; ARKit basics; ARCore basics; Blender/Maya basics; 3D modeling basics; UI/UX fundamentals; Spatial computing basics; Problem-solving; Teamwork; Communication; Creativity,Remote/International,"c++ basics, c# basics, javascript basics, unity basics, unreal engine basics, arkit basics, arcore basics, blender/maya basics, 3d modeling basics, ui/ux fundamentals, spatial computing basics, problem-solving, teamwork, communication, creativity",15,Other Tech
